id;text;type;game
1; Kill iudex gundyr as the deprived staring class;Single;Dark Souls 3
2;Get a pentakill;Single;League of Legends
3;Win a game without dying;Single;League of Legends
4;Get 30+ kills;Single;League of Legends
5;Win without using ur ultimate;Single;League of Legends
6;Get 2 knife kills;Single;Counter Strike 2
7;Do a ninja defuse;Single;Counter Strike 2
8;Win a round using only knife and utility;Single;Counter Strike 2
9;Reach the first checkpoint;Single;Peak
10;Win a run;Single;Slay the Spire 2
11;Win a run;Single;Binding of Isaac
12;Break the game;Single;Binding of Isaac
13;Win the daily run;Single;Slay the Spire 2
14;Kill a boss on ur first try;Single;Elden Ring
15;Kill a boss on ur first try;Single;Dark Souls 3
16;Win the game;Single;2048
17;Win against the opposite team;Versus;Geoguesser
18;Win a 2v2;Versus;Party Animals
20;Get eaten by a spider;Single;Peak
21;Complete a +10 Keystone dungeon without anne dying;Single;World of Warcraft
22;Clear advanced map on hard (no insta-monkeys or powers);Single;Bloons TD 6
23;Vind en 1v1 i aram (100 cs/1 Kill/1 tower);versus;League of Legends
24;Clear boss bloon (no insta-monkeys or powers);Single;Bloons TD 6
25;Kill soilder of godrick with fists only;single;Elden Ring
26;go to the nether ;single;MInecraft 
27;Use a water bucket to prevent fall damage;Single;MInecraft 
28;Cook chicken with a lava bucket;Single;Minecraft 
29;Win a game without dying;Versus;Ultimate Chicken Horse
30;Win stage 5;Single;Geometry dash
31;Win a 1v1;Versu s;Muck
